opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,target_won,sector,company_age,revenue,employees,is_subsidiary,is_domestic,manager,regional_office
1C1I7A6R,Moses Frase,GTX Plus Basic,Cancity,Won,2016-10-20,2017-03-01,1054.0,1,retail,17,718.62,2448,0,1,Dustin Brinkmann,Central
Z063OYW0,Darcel Schlecht,GTXPro,Isdom,Won,2016-10-25,2017-03-11,4514.0,1,medical,16,3178.24,4540,0,1,Melvin Marxen,Central
EC4QE1BX,Darcel Schlecht,MG Special,Cancity,Won,2016-10-25,2017-03-07,50.0,1,retail,17,718.62,2448,0,1,Melvin Marxen,Central
MV1LWRNH,Moses Frase,GTX Basic,Codehow,Won,2016-10-25,2017-03-09,588.0,1,software,20,2714.9,2641,1,1,Dustin Brinkmann,Central
PE84CX4O,Zane Levy,GTX Basic,Hatfan,Won,2016-10-25,2017-03-02,517.0,1,services,36,792.46,1299,0,1,Summer Sewald,West
ZNBS69V1,Anna Snelling,MG Special,Ron-tech,Won,2016-10-29,2017-03-01,49.0,1,medical,26,3922.42,6837,0,1,Dustin Brinkmann,Central
9ME3374G,Vicki Laflamme,MG Special,J-Texon,Won,2016-10-30,2017-03-02,57.0,1,retail,29,1388.67,3583,0,1,Celia Rouche,West
7GN8Q4LL,Markita Hansen,GTX Basic,Cheers,Won,2016-11-01,2017-03-07,601.0,1,entertainment,25,4269.9,6472,1,1,Celia Rouche,West
OLK9LKZB,Niesha Huffines,GTX Plus Basic,Zumgoity,Won,2016-11-01,2017-03-03,1026.0,1,medical,34,441.08,1210,0,1,Melvin Marxen,Central
NL3JZH1Z,Anna Snelling,MG Special,Bioholding,Won,2016-11-04,2017-03-10,53.0,1,medical,6,587.34,1356,0,0,Dustin Brinkmann,Central
KWVA7VR1,Gladys Colclough,GTXPro,Genco Pura Olive Oil Company,Lost,2016-11-04,2017-03-18,0.0,0,retail,11,894.33,1635,0,0,Melvin Marxen,Central
S8DX3XOU,James Ascencio,GTX Plus Pro,Sunnamplex,Won,2016-11-04,2017-03-10,5169.0,1,marketing,10,894.37,1593,0,0,Summer Sewald,West
ENB2XD8G,Maureen Marcano,GTX Plus Pro,Sonron,Won,2016-11-04,2017-03-06,4631.0,1,telecommunications,19,1699.85,5108,0,1,Summer Sewald,West
09YE9QOV,Hayden Neloms,MG Advanced,Finjob,Won,2016-11-05,2017-03-11,3393.0,1,employment,30,2059.9,3644,0,1,Celia Rouche,West
3F5MZNEH,Rosalina Dieter,MG Special,Sonron,Lost,2016-11-05,2017-03-03,0.0,0,telecommunications,19,1699.85,5108,0,1,Celia Rouche,West
M6WEJXC0,Rosalina Dieter,MG Advanced,Scotfind,Won,2016-11-05,2017-03-06,3284.0,1,software,22,6354.87,16780,1,1,Celia Rouche,West
6PTR7VBR,Versie Hillebrand,MG Special,Treequote,Won,2016-11-06,2017-03-05,61.0,1,telecommunications,30,5266.09,8595,1,1,Dustin Brinkmann,Central
902REDPA,Daniell Hammack,GTXPro,Xx-zobam,Lost,2016-11-07,2017-03-09,0.0,0,entertainment,29,3838.39,8274,0,1,Rocco Neubert,East
5J9CMGDV,Elease Gluck,MG Special,Rantouch,Won,2016-11-07,2017-03-08,46.0,1,telecommunications,24,1188.42,3015,0,1,Celia Rouche,West
JJXRR8R6,James Ascencio,GTX Plus Pro,Fasehatice,Lost,2016-11-07,2017-03-17,0.0,0,retail,28,4968.91,7523,0,1,Summer Sewald,West
WF4HA5NW,Moses Frase,MG Special,Ron-tech,Won,2016-11-07,2017-03-18,50.0,1,medical,26,3922.42,6837,0,1,Dustin Brinkmann,Central
C5K2JP1H,Violet Mclelland,GTX Plus Basic,Vehement Capital Partners,Won,2016-11-07,2017-03-11,1014.0,1,finance,25,646.1,883,1,1,Cara Losch,East
ADRB8OMB,Darcel Schlecht,GTX Basic,Warephase,Won,2016-11-08,2017-03-26,561.0,1,services,21,2041.73,5276,0,1,Melvin Marxen,Central
SBCR987L,Kami Bicknell,GTX Basic,Zoomit,Won,2016-11-10,2017-03-23,590.0,1,entertainment,26,324.19,978,0,1,Summer Sewald,West
JSD4APT2,Versie Hillebrand,MG Special,Bioholding,Won,2016-11-10,2017-03-12,61.0,1,medical,6,587.34,1356,0,0,Dustin Brinkmann,Central
AO9Z2D17,Violet Mclelland,GTX Plus Pro,Xx-zobam,Lost,2016-11-10,2017-03-11,0.0,0,entertainment,29,3838.39,8274,0,1,Cara Losch,East
5M58DTJK,Elease Gluck,MG Special,Cheers,Won,2016-11-11,2017-03-05,58.0,1,entertainment,25,4269.9,6472,1,1,Celia Rouche,West
KNY1OSAB,Maureen Marcano,GTXPro,Labdrill,Won,2016-11-11,2017-03-14,4899.0,1,medical,33,2741.37,9226,0,1,Summer Sewald,West
EAZDUUM9,Rosie Papadopoulos,MG Advanced,Zotware,Lost,2016-11-11,2017-03-01,0.0,0,software,39,4478.47,13809,0,1,Cara Losch,East
2STUSOFE,Versie Hillebrand,MG Special,dambase,Won,2016-11-11,2017-03-03,67.0,1,marketing,23,2173.98,2928,1,1,Dustin Brinkmann,Central
JYKM0B00,James Ascencio,GTXPro,Xx-holding,Won,2016-11-12,2017-03-06,4338.0,1,finance,25,7537.24,20293,0,1,Summer Sewald,West
KU28360J,Kary Hendrixson,GTX Basic,Fasehatice,Won,2016-11-12,2017-03-19,578.0,1,retail,28,4968.91,7523,0,1,Summer Sewald,West
N4SD17JR,Reed Clapper,GTX Basic,Acme Corporation,Won,2016-11-12,2017-03-01,556.0,1,technolgy,22,1100.04,2822,0,1,Rocco Neubert,East
E67P9Y3Q,Rosalina Dieter,GTX Basic,Green-Plus,Won,2016-11-12,2017-03-03,635.0,1,services,15,692.19,1922,0,1,Celia Rouche,West
AT3MMVIS,Wilburn Farren,MG Advanced,The New York Inquirer,Won,2016-11-12,2017-03-07,3045.0,1,medical,22,439.21,792,0,1,Cara Losch,East
REJ11LRY,Garret Kinder,GTX Plus Basic,Mathtouch,Won,2016-11-13,2017-03-14,1233.0,1,marketing,34,3027.46,9516,0,0,Cara Losch,East
ERV0CAZ7,Versie Hillebrand,MG Special,Zumgoity,Won,2016-11-13,2017-03-09,60.0,1,medical,34,441.08,1210,0,1,Dustin Brinkmann,Central
8SOQADK7,Anna Snelling,MG Special,Gogozoom,Lost,2016-11-14,2017-03-30,0.0,0,telecommunications,11,86.68,187,1,1,Dustin Brinkmann,Central
TCHFT25B,Darcel Schlecht,GTX Basic,Stanredtax,Lost,2016-11-14,2017-03-08,0.0,0,finance,31,1698.2,3798,0,1,Melvin Marxen,Central
CZVN09WN,Darcel Schlecht,GTX Plus Basic,Konmatfix,Won,2016-11-14,2017-03-20,1170.0,1,marketing,33,375.43,1190,0,1,Melvin Marxen,Central
30UQWUKB,Marty Freudenburg,GTX Plus Basic,Genco Pura Olive Oil Company,Won,2016-11-15,2017-03-20,1162.0,1,retail,11,894.33,1635,0,0,Melvin Marxen,Central
97UN20YY,Darcel Schlecht,MG Advanced,Conecom,Won,2016-11-16,2017-03-14,3725.0,1,technolgy,13,1520.66,1806,0,1,Melvin Marxen,Central
JXLERZ9O,Kary Hendrixson,GTX Basic,Golddex,Won,2016-11-16,2017-03-31,559.0,1,finance,10,52.5,165,0,1,Summer Sewald,West
6ROE69W5,Rosalina Dieter,GTX Basic,Plexzap,Lost,2016-11-16,2017-03-11,0.0,0,retail,17,2437.85,4874,0,1,Celia Rouche,West
